"id","sku","url","date","price","is_instant"
1602385,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/20",9500000.00,false
1602386,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/21",5500000.00,false
1602387,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/25",11000000.00,false
1602388,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/26",5500000.00,false
1602389,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/27",9500000.00,false
1602390,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/24",4500000.00,false
1602391,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/11",4500000.00,false
1602392,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/06",9500000.00,false
1602393,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/09",4500000.00,false
1602394,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/28",5500000.00,false
1602395,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/29",4500000.00,false
1602396,c9eb48d0f1f54d3cb996f49ff4c05b54,https://jajooreh.com/residence/three-bedroom-duplex-villa-with-spa-pool/,"1403/10/30",4500000.00,false
1602397,dd7945acf40d47179811c323e519d891,https://jajooreh.com/residence/house-for-rent-in-paveh-palangan/,"1403/10/02",550000.00,false
